what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1366612438945
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1366612438953
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1366612439008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366612439238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366613452052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366613454806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366613458549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366613955193
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366613958906
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1366613959814
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366613959971
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366613960751
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1366613960763
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366613960771
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366613962142
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366613962144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366613972903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366613975419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614037470
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1366614046713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366614047971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366614048165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366618082824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366618083821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366619789852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366619792283
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1366619807647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366619817046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366619822059
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366620005203
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366620010019
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366620010078
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366620012563
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366620013488
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366620013522
