what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1347434971587
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347434985279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347434986592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347434988087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347434988297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347434989515
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1347434991181
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347434992051
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1347434995348
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347434999095
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1347435000785
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1347435001004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435017427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435099679
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1347435100839
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1347435101592
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1347435101599
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1347435101625
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1347435101626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435103707
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435106383
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435106405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435106449
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1347435106455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1347435106455
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1347435106555
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435106659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435111767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347435134894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435150033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435152328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435176013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435177606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435184087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435187726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347435189027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435197527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435198707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435205652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347435210683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435214427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435217679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347435222419
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435224374
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435224434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435227171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435227299
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1347435228416
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435228643
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435228715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435230832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435230938
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1347435232241
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435232445
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1347435232514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435234716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347435234866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1347435236017
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1347435242035
